title,link,serpapi_link,product_id,epid,condition,rating,reviews,price,shipping,location,returns,thumbnail,seller,sold_date,extensions,old_price,subtitle
JACK HUGHES PSA 10 2019-20 UPPER DECK #201 ROOKIE YOUNG GUNS RC DEVILS 8558,https://www.ebay.com/itm/389892004829?_skw=jack+hughes+young+guns+psa+10&epid=8056494284&itmmeta=01KPBCCFZS695ZP2QPVMA17YC1&hash=item5ac75fdbdd%3Ag%3AgWAAAeSwb7Bp3xfI&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xD2KUHBE87tK8mES%2BwHBNxe5dm0PlPzdw7rb1qOQToxO2TClCcg9kBgVTOFK9NLKX%2BgEFXTp0aRrSp9aPWNu8NXNeqSr3h60L6xI2T5tFB99YO%2FTMMNKU7KIcGQ4JK9KimvPaI%2FWu7xwN6geNaoAQI7ZzsjW1JK%2B8z7%2FGelOacYVV5n%2B7Fp2AzCw4V7IptLAt5Oti1wEITBHn9xXVwRbL4ZOjDYd9mfxagGA5Dj3DiogwF9dUaqv8J5yKSlZUm8T8UAlafpErUbSVb2NSJIv3rl6Yv5ukPCJ0Pnk0ExSejozHZGM4bEJJDMRxiqXWB%2BAhY%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=389892004829,389892004829,8056494284,New (Other),5.0,4.0,"{'raw': '$240.00', 'extracted': 240.0}","{'raw': '+$6.00 delivery', 'extracted': 6.0}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/gWAAAeSwb7Bp3xfI/s-l500.jpg,"{'username': 'millerssports', 'reviews': 8100, 'positive_feedback_in_percentage': 99.9}","Apr 16, 2026",,,
"2019-20 Upper Deck - Ud Canvas Young Guns Checklist Jack Hughes, Quinn Hughes...",https://www.ebay.com/itm/198203666673?_skw=jack+hughes+young+guns+psa+10&epid=27056480386&itmmeta=01KPBCCFZSYN26MFJECVMW3PZ3&hash=item2e25dbf0f1%3Ag%3APsQAAeSwBthpuvac&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBMqsRavY6RMTWYYGBIVxceye%2Bx5m1F8%2FfCBj9ly%2BAH%2BYk7U1CLe62ffsg%2BXDoOBd7oDlUloTf%2BVyoHSktWzzukwRB%2FIqhmEt9WBPMTRQJGg3LQPLw%2FAfr7cIKJZHG4QwS5LExI%2FkrIMef4XFfNg5N0kr9wfyG6cwdyShc1yfL8ELnm1jp3gjpJLg3S3WnIRKrDKx%2BrQdhZC8%2FnTotCmH5J6za3HWAKvZ%2F4OO6jWeT%2FTceuXM6K6D9TnQGP8G2DkxOrXo9B5XpNaz7p2tASLsnpu5LnCpuVXCnR4iMTeo9pmD3xsE1WpXgcqac%2BFzy%2FY2I%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=198203666673,198203666673,27056480386,New (Other),,,"{'raw': '$99.99', 'extracted': 99.99}","{'raw': '+$4.88 delivery', 'extracted': 4.88}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/PsQAAeSwBthpuvac/s-l500.jpg,"{'username': 'niferre0', 'reviews': 332, 'positive_feedback_in_percentage': 100}","Apr 15, 2026",,,
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC),https://www.ebay.com/itm/206211133084?_skw=jack+hughes+young+guns+psa+10&epid=8056494284&itmmeta=01KPBCCFZSD4WH4N93BNN7STC7&hash=item3003242e9c%3Ag%3APesAAeSwpZhp3vYX&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xDnQ1Lce0eF%2FbX6bd0JBqMD7h0WWj1JqehyAD7RYsPNT3b7kGTSExeXp6x1tfnUyLXAPGB8MUD7nNuXidp6noIVcCg5TH9vT%2BXfowUVcioZb1T1WT1yNU7y9dLYYPuSPZExjHG%2Fwcd%2FCjuXeWgBDjU9lAYJPyaqns03dlhefRcl0gGQqP5dnYyyFbzzwwwwtz5P%2BZDcp6K6SRTyw2f%2Fvy8Cpm%2FbTXPiB3wTSxb2DCzJZiBaO0aVPTAl2kVjEQohHz7gODX3am6TUvQtIB3ktGJiquKCrqNnYxZceqAaW9qQRdOBz%2B737efrDxki9aSck1k%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=206211133084,206211133084,8056494284,New (Other),5.0,4.0,"{'raw': '$180.00', 'extracted': 180.0}",Free delivery,Located in United States,Sell one like this,https://i.ebayimg.com/images/g/PesAAeSwpZhp3vYX/s-l140.jpg,"{'username': '47marciano0hwt', 'reviews': 1200, 'positive_feedback_in_percentage': 100}","Apr 14, 2026",,,
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC),https://www.ebay.com/itm/206211104022?_skw=jack+hughes+young+guns+psa+10&epid=8056494284&itmmeta=01KPBCCFZS42X4Q1SSCMWRCJQ1&hash=item300323bd16%3Ag%3A8HsAAOSwkz5npjB8&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBsiwUtw%2FfN4SQq5ArUrtV9WEQKo5LrslX7YyRH2owE%2F5%2FFSVdW5ZOosFOpgPuuSUJRbReK%2Bm66SUZt72y1V9JPeUVmlKc5GuZDijzoAcE%2BFlCZlDG5giJK0rvEsZZQmu2us%2BkfuBMZ2O%2FjPMJMMJ9JvGUPxS0gKpRZMbxb5bvyDk8%2FLxTWnRRYYVhmn7upx6EAmP1MKv3%2B8ISYkgYEyUInMg4WdXlw05x49aEdf6WQV6h1EYR%2FxXO7wiRvbWAZRHwxsfPR07TH35bmWYBe2HtH%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=206211104022,206211104022,8056494284,New (Other),5.0,4.0,"{'raw': '$200.00', 'extracted': 200.0}","{'raw': '+$10.00 delivery', 'extracted': 10.0}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/8HsAAOSwkz5npjB8/s-l140.jpg,"{'username': '47marciano0hwt', 'reviews': 1200, 'positive_feedback_in_percentage': 100}","Apr 14, 2026",,,
2019-20 Upper Deck - Young Guns Jack Hughes SGC 10,https://www.ebay.com/itm/298076262455?_skw=jack+hughes+young+guns+psa+10&epid=8056494284&itmmeta=01KPBCCFZSTYQBQCSJ7NY3GMRC&hash=item4566bad037%3Ag%3As9AAAeSweaFpo4in&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xAPTaCaqHY0n%2BncVmJML6NIXvI53b3y9CCTNuZYs0Ez9ivggdVxmWyxW4Dz2DuHWJWmHPElt%2FOuzWY4p7f7wPz%2BVj4Nccgw67L4dWSyr77gMIT8%2Fgo8zSxN2PI2NZfi20lE3TKUK%2BEVNbz77s8VGqjdX2v46lxBW7TlbWd1ZRSIoFB%2F1U8UyxuzhqWetjiGXaOoNRftswoI3gKmZhPGTu01rudYqUKxwYt8BBEEPSpxhVcm2A8Zb0qyH769lbv7%2FQdXkyCGvR8yJZMQngxwDPON2T2WB%2FXenpAJBThJHP6AT%2Fpd4Qe%2FA9rRur3o%2B2sPvdU%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=298076262455,298076262455,8056494284,New (Other),5.0,4.0,"{'raw': '$170.00', 'extracted': 170.0}","{'raw': '+$3.00 delivery', 'extracted': 3.0}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/s9AAAeSweaFpo4in/s-l140.jpg,"{'username': 'sharkbiter', 'reviews': 232, 'positive_feedback_in_percentage': 100}","Apr 14, 2026",,,
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC).,https://www.ebay.com/itm/206182693756?_skw=jack+hughes+young+guns+psa+10&epid=8056494284&itmmeta=01KPBCCFZSM4T1TJRWV1WG0XSE&hash=item3001723b7c%3Ag%3ACLsAAeSwqlJpzThr&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xBtJI2NyU2WI1LtlheJ4FDqcVak7ANh8nDbp6q1bOXrvWt0eEZ3ajnoDIoBAl9yTYGqtSUL7Dy38RYVY%2BDs7r1phF1hukzdVKnYnuQ0TKA8sZnLcuQi%2BtM3rqUQ2C6t3RAY3JadcXg4%2F%2Bh8hwEw9ZX3YVP9ar%2FpUf05QMcceL20apbsUXOewu%2FCys%2BkGl8incIitaipBE8Txke1FeZBAEdcv0MkfivTsi1stfcRwMgo1jnNE1pkg4I2brBbi5rNnLPOZYuKQVwi7iDCJY2uNieCYler%2BdwM4gnyAp9jRi73niBtAQLnOTkylkm3HtbvM5I%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=206182693756,206182693756,8056494284,New (Other),5.0,4.0,"{'raw': '$400.00', 'extracted': 400.0}","{'raw': '+$10.00 delivery', 'extracted': 10.0}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/CLsAAeSwqlJpzThr/s-l140.jpg,"{'username': '47marciano0hwt', 'reviews': 1200, 'positive_feedback_in_percentage': 100}","Apr 14, 2026",['Authenticity Guarantee'],,
2019-20 Upper Deck #C240 Jack Hughes/Quinn Hughes Young Gun Checklist SGC 10 GM!,https://www.ebay.com/itm/198128439672?_skw=jack+hughes+young+guns+psa+10&epid=27056480386&itmmeta=01KPBCCFZTKN8TZE9R66RQSCTB&hash=item2e21601178%3Ag%3AG48AAeSwHTRpmzn6&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDQ2bDkyQnA%2FotxyNQuVqnLkSDhzXrlyTk9H4fMXuJCegJXqUKBNyVMe5zTrgKJE3QTIHVw%2Bxoz2XFdPsyt5cA%2FZ1yfKPC8fLJISUplS9Tu34Q9BZOauR9Exb9o1rGWRVktcp2E3gIaSD0JVrdkJGw0CC3npm%2FdXaZbZS0lyn7enmySSn%2Bwiz61wvT1nMYNJShk5vACMQ48Da46L%2FKIPelciX7iFp86jEFSx7w%2FZ%2BDuVSacBKfAJsqYByRguZ03Sj4%2BLE3TvTty0Fk2JZ9ijU1y%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=198128439672,198128439672,27056480386,New (Other),,,"{'raw': '$199.99', 'extracted': 199.99}","{'raw': '+$5.99 delivery in 2-4 days', 'extracted': 5.99}",Located in United States,Sell one like this,https://i.ebayimg.com/images/g/G48AAeSwHTRpmzn6/s-l140.jpg,"{'username': 'det_cards', 'reviews': 2600, 'positive_feedback_in_percentage': 100}","Apr 13, 2026",,,
2019-20 Upper Deck Young Guns Jack Hughes RC Rookie PSA 9,https://www.ebay.com/itm/389860674477?_skw=jack+hughes+young+guns+psa+10&itmmeta=01KPBCCFZTJVJ1Z0QPSNVJ7M8N&hash=item5ac581cbad%3Ag%3AjEUAAeSwhQpp1cBX&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBMQQrCcPqwtt6XVES4Kkwsq%2FOLfXQCWy16XfFRy4roujb9l6CNppyxT9%2BXIRJHa0gYknt75ll4VGfjbystsZhh8U6AM3HXdBchX0ryXOxxT0NtWh7%2FYfCmceu%2BAVhe75hqxguyQIgZs1uxm6JsBlk3RKS0yHkjhlJ7yvA90IApu1pCzgX4bumTDxpmeQx0uNu7BMDV9c1URjTO%2F5bErqgYVl1dQ%2FTsJKpJUUiMnfx1dfN3V4byrlmc%2FI68k4m%2BdcbyaqjjiToq%2FF4uWAG3IBta%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=389860674477,389860674477,,New (Other),,,"{'raw': '$130.99', 'extracted': 130.99}","{'raw': '+$11.21 delivery', 'extracted': 11.21}",Located in Canada,Sell one like this,https://i.ebayimg.com/images/g/jEUAAeSwhQpp1cBX/s-l140.jpg,"{'username': 'gametimescotty', 'reviews': 331, 'positive_feedback_in_percentage': 97.2}","Apr 13, 2026",,,
2019-20 Jack Hughes Young Guns YG Rookie RC PSA 10 GEM MT Devils USA Golden Goal,https://www.ebay.com/itm/377065985063?_skw=jack+hughes+young+guns+psa+10&itmmeta=01KPBCCFZTM7PJB274YD0Q0PJE&hash=item57cae25427%3Ag%3A5-oAAeSw8JdpxeuI&itmprp=enc%3AAQALAAABAGfYFPkwiKCW4ZNSs2u11xAZ3EyELFye8DRQNZyk0A37J2aA1XWFsLXhpBItpWWJuAMOSi8Oyqlpa66c%2FBpuw6%2BUYS5oaFvQ14hB8zcxkDQp%2B%2BRwr989D1UODo4HoGN1XvgI%2FXl6BKf7MVtDnQqnvt%2BYsq9T4TL%2BlPl0WVU26C1tFlddg97yN4zoVsZ5xyKuSV%2FieI53e2MWfKXmMvtKoftCnqPpLDBhZZ8bcu1%2BNMBD1QWvwwFUgaXx%2FVt8AQOzc4if4BIJBVyIoeK6%2B4d%2FNhAJwQ%2FK2l7mOxkbPU0LSo0w9or0%2Bhfq9D0mDBBFCoWZiQTEuZrX74P2F%2FCoMBpUzUY%3D%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=377065985063,377065985063,,New (Other),,,"{'raw': '$216.13', 'extracted': 216.13}","{'raw': '+$15.46 delivery', 'extracted': 15.46}",Located in Canada,Sell one like this,https://i.ebayimg.com/images/g/5-oAAeSw8JdpxeuI/s-l140.jpg,"{'username': 'colesportcards', 'reviews': 213, 'positive_feedback_in_percentage': 100}","Apr 12, 2026",,,
Jack Hughes Young Guns ROOKIE PSA 10 Graded Hockey Card 2019 RC Devils,https://www.ebay.com/itm/389868286146?_skw=jack+hughes+young+guns+psa+10&itmmeta=01KPBCCFZTWX0N868HQHZQXWA1&hash=item5ac5f5f0c2%3Ag%3A548AAeSw3jJp2A77&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBsyg8ZXgicm63RK2etWj%2F7ufvbOSd8PrxDe7%2Bk%2BHsfwO7cyY6bpXD73juEC0cUgPtIyBPnUdvxkskgEKz7yMytIAQzAvTfKfPt9O1fCdg19gZhkyjr3xPRKHzapqdTZnX50%2FTI3mf47R85uaLrsbWrtmLdLUf0gvl3ulCCpr0odeCz%2BfZJ2yYF9EqTiWhVnHHk1H0e7tGuFST8xRM%2FmRSVLZvbYnKoHtuaeg1%2BlthJXQKPJO8vyqkAMfygjgqwo1h5QDRWXsEljWsngtADI7Gt%7Ctkp%3ABk9SR7SAsuyyZw&LH_BIN=1,https://serpapi.com/search.json?ebay_domain=ebay.com&engine=ebay_product&product_id=389868286146,389868286146,,New (Other),,,"{'raw': '$218.32', 'extracted': 218.32}","{'raw': '+$11.28 delivery', 'extracted': 11.28}",Located in Canada,Sell one like this,https://i.ebayimg.com/images/g/548AAeSw3jJp2A77/s-l140.jpg,"{'username': 'duncnadm', 'reviews': 971, 'positive_feedback_in_percentage': 100}","Apr 12, 2026",,,
